Posted on,As of on,Account,Memo,Adjustment type,Seg,Amount,Currency
2017-05-04,,88888,To adjust for incorrect coding of Exchange fees,EXG,SEGN,0.09,EUR
2017-05-04,,00777,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-4220.66,USD
2017-05-04,,00789,To adjust for incorrect coding of Exchange fees,EXG,SEGN,88.0,GBP
2017-05-04,,00789,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-2105.0,USD
2017-05-04,,01985,To adjust for incorrect coding of Exchange fees,EXG,SEGN,93.6,USD
2017-05-04,,01986,To adjust for incorrect coding of Exchange fees,EXG,SEGN,0.02,USD
2017-05-04,,04779,To adjust for incorrect coding of Exchange fees,EXG,SEGN,4.74,USD
2017-05-04,,05520,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-153.43,USD
2017-05-04,,05520,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1829.96,GBP
2017-05-04,,39009,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-9.5,EUR
2017-05-04,,39009,To adjust for incorrect coding of Exchange fees,EXG,SEGN,4570.28,GBP
2017-05-04,,39009,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-150.26,USD
2017-05-04,,88888,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-0.05,USD
2017-05-04,,08888,To adjust Account number to correct account 88888,MSC,SEGN,648.06,USD
2017-05-04,,08888,To adjust Account number to correct account 88888,MSC,SEGN,949.36,EUR
2017-05-04,,88888,To adjust Account number to correct account 88888,MSC,SEGN,-648.06,USD
2017-05-04,,88888,To adjust Account number to correct account 88888,MSC,SEGN,-949.36,EUR
2017-05-04,,00201,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-6372.85,USD
2017-05-04,,01974,To adjust for incorrect coding of Exchange fees,EXG,SEGN,2481.3,USD
2017-05-04,,00024,To adjust for incorrect coding of Exchange fees,EXG,SEGN,3.08,USD
2017-05-04,,00024,To adjust for incorrect coding of Exchange fees,EXG,SEGN,2868.36,GBP
2017-05-04,,00033,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1761.76,GBP
2017-05-04,,00071,To adjust for incorrect coding of Exchange fees,EXG,SEGN,0.02,USD
2017-05-04,,00071,To adjust for incorrect coding of Exchange fees,EXG,SEGN,352.0,GBP
2017-05-04,,00085,To adjust for incorrect coding of Exchange fees,EXG,SEGN,125.16,USD
2017-05-04,,00085,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1883.2,GBP
2017-05-04,,00099,To adjust for incorrect coding of Exchange fees,EXG,SEGN,501.89,USD
2017-05-04,,00099,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-2.0,EUR
2017-05-04,,00123,To adjust for incorrect coding of Exchange fees,EXG,SEGN,176.0,GBP
2017-05-04,,00333,To adjust for incorrect coding of Exchange fees,EXG,SEGN,891.44,GBP
2017-05-04,,00375,To adjust for incorrect coding of Exchange fees,EXG,SEGN,48.6,USD
2017-05-04,,00429,To adjust for incorrect coding of Exchange fees,EXG,SEGN,282.48,GBP
2017-05-04,,00429,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-95.29,USD
2017-05-04,,00451,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-336.04,USD
2017-05-04,,00455,To adjust for incorrect coding of Exchange fees,EXG,SEGN,176.0,GBP
2017-05-04,,00624,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-114.48,EUR
2017-05-04,,00624,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1838.0,GBP
2017-05-04,,00624,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-53.26,USD
2017-05-04,,00708,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1575.92,USD
2017-05-04,,00708,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1070.96,GBP
2017-05-03,,00902,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-104.61,USD
2017-05-03,,00002,To adjust for incorrect coding of Exchange fees,EXG,SEGN,3663.44,GBP
2017-05-03,,00002,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-57.56,EUR
2017-05-03,,00002,To adjust for incorrect coding of Exchange fees,EXG,SEGN,6407.79,USD
2017-05-03,,00005,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-9.59,USD
2017-05-03,,00005,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-101.3,EUR
2017-05-03,,00005,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1140.48,GBP
2017-05-03,,00019,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-0.06,EUR
2017-05-03,,00019,To adjust for incorrect coding of Exchange fees,EXG,SEGN,2219.47,USD
2017-05-03,,00019,To adjust for incorrect coding of Exchange fees,EXG,SEGN,1468.72,GBP
2017-05-03,,00022,To adjust for incorrect coding of Exchange fees,EXG,SEGN,132.0,GBP
2017-05-03,,00022,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-301.16,USD
2017-05-03,,00877,To adjust for incorrect coding of Exchange fees,EXG,SEGN,-14.04,EUR
2017-05-03,,00877,To adjust for incorrect coding of Exchange fees,EXG,SEGN,29.94,USD
2017-05-03,,00877,To adjust for incorrect coding of Exchange fees,EXG,SEGN,5598.56,GBP
2017-05-03,,00902,To adjust for incorrect coding of Exchange fees,EXG,SEGN,2530.88,GBP
2017-04-26,,00099,Trader Development Rebate March 2017,EXG,SEGN,818.0,EUR
2017-04-26,,01986,Trader Development Rebate March 2017,EXG,SEGN,548.0,EUR
