account_code	claim_code	bot	sld	price	traded_on
"00019"	"ICECL:LH16"	95.0	0	99.4	"2016-01-18"
"00019"	"ICECL:LH16"	99.0	1.0	99.41	"2016-01-18"
"00019"	"ICECL:LM16"	27.0	0	99.39	"2016-01-18"
"00019"	"ICECL:LU16"	42.0	20.0	99.36	"2016-01-18"
"00019"	"ICECL:LU16"	1.0	13.0	99.37	"2016-01-18"
"00019"	"ICECL:LZ16"	28.0	28.0	99.3	"2016-01-18"
"00019"	"ICECL:LZ16"	0	20.0	99.33	"2016-01-18"
"00071"	"ICECL:LH16"	7.0	0	99.4	"2016-01-18"
"00071"	"ICECL:LH16"	11.0	0	99.41	"2016-01-18"
"00250"	"EUREX:FGBMH16"	20.0	0	131.37	"2016-01-18"
"00250"	"EUREX:FGBMH16"	0	20.0	131.38	"2016-01-18"
"00250"	"EUREX:FGBMH16"	20.0	0	131.46	"2016-01-18"
"00250"	"EUREX:FGBMH16"	30.0	20.0	131.47	"2016-01-18"
"00250"	"EUREX:FGBMH16"	20.0	30.0	131.48	"2016-01-18"
"00250"	"EUREX:FGBMH16"	40.0	20.0	131.49	"2016-01-18"
"00250"	"EUREX:FGBMH16"	14.0	54.0	131.5	"2016-01-18"
"00250"	"EUREX:FGBMH16"	40.0	20.0	131.51	"2016-01-18"
"00250"	"EUREX:FGBMH16"	0	20.0	131.52	"2016-01-18"
"00250"	"ICECL:LH16"	137.0	0	99.4	"2016-01-18"
"00250"	"ICECL:LH16"	112.0	132.0	99.41	"2016-01-18"
"04120"	"MATIF:EBMH16"	60.0	9.0	164.5	"2016-01-18"
"04120"	"MATIF:EBMH16"	0	61.0	164.75	"2016-01-18"
"04120"	"MATIF:EBMK16"	5.0	0	170.0	"2016-01-18"
"04120"	"MATIF:EBMK16"	5.0	0	170.25	"2016-01-18"

