SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Delivery ,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,        Price,Ccy,       Trx Value,  Trx Type, Trx Date,                                 Trx Ref,  Trade No,   Voucher,Trd Date            ,Prod Group,HseClt,CltBkr,Curr Date,LEI                 ,Trade Source,Trade Type
LT    ,          ,LTESTLON  ,LTESTLON  ,               ,         ,          ,0,  , ,0,0,             ,USD,1000000, CASH RECD,12-Jul-19,Initial Deposit                         ,0,288691998,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,            ,          
LT    ,          ,LTESTLON  ,LTESTLON  ,               ,         ,          ,0,  , ,0,0,             ,EUR,500000, CASH RECD,12-Jul-19,Initial Deposit                         ,0,288692000,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,            ,          
LT    ,          ,LTESTLON  ,LTESTLON  ,               ,         ,          ,0,  , ,0,0,             ,GBP,500000, CASH RECD,12-Jul-19,Initial Deposit                         ,0,288691999,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,            ,          
LT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,B,2,2,60.9,USD,-2,COMMISSION,12-Jul-19,Buy 2 lots AUG-19  NYX LGT CRUDE F      ,281684660,288691945,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,S,2,-2,60.65,USD,-2,COMMISSION,12-Jul-19,Sell 2 lots AUG-19  NYX LGT CRUDE F     ,281684661,288691946,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,S,2,-2,60.65,USD,-3.04,       FEE,12-Jul-19,2 lots AUG-19  NYX LGT CRUDE F          ,281684661,288692002,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,B,2,2,60.9,USD,-3.04,       FEE,12-Jul-19,2 lots AUG-19  NYX LGT CRUDE F          ,281684660,288692004,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,2998.25,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  E-MINI S+P F         ,281684662,288691947,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,3003.5,USD,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  E-MINI S+P F         ,281684663,288691948,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,2999.5,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  E-MINI S+P F        ,281684664,288691949,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,3005.75,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  E-MINI S+P F             ,281684665,288692012,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,2999.5,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  E-MINI S+P F             ,281684664,288692006,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,3003.5,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  E-MINI S+P F             ,281684663,288692008,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,2998.25,USD,-1.2,       FEE,12-Jul-19,1 lots SEP-19  E-MINI S+P F             ,281684662,288692010,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,3005.75,USD,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  E-MINI S+P F        ,281684665,288691950,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,EUR,-0.8,       FEE,12-Jul-19,1 lots SEP-19  DAX F                    ,281684671,288692014,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,1,1,12401.5,EUR,-0.8,       FEE,12-Jul-19,1 lots SEP-19  DAX F                    ,281684666,288692016,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,1,1,12401.5,EUR,-1,COMMISSION,12-Jul-19,Buy 1 lots SEP-19  DAX F                ,281684666,288691951,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,2,-2,12388.5,EUR,-2,COMMISSION,12-Jul-19,Sell 2 lots SEP-19  DAX F               ,281684673,288691958,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,3,-3,12374.5,EUR,-3,COMMISSION,12-Jul-19,Sell 3 lots SEP-19  DAX F               ,281684672,288691957,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  DAX F               ,281684671,288691956,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,EUR,-1,COMMISSION,12-Jul-19,Sell 1 lots SEP-19  DAX F               ,281684670,288691955,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12418.5,EUR,-2,COMMISSION,12-Jul-19,Buy 2 lots SEP-19  DAX F                ,281684669,288691954,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408.5,EUR,-2,COMMISSION,12-Jul-19,Buy 2 lots SEP-19  DAX F                ,281684668,288691953,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,2,-2,12388.5,EUR,-1.6,       FEE,12-Jul-19,2 lots SEP-19  DAX F                    ,281684673,288692028,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,EUR,-0.8,       FEE,12-Jul-19,1 lots SEP-19  DAX F                    ,281684670,288692026,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,3,-3,12374.5,EUR,-2.4,       FEE,12-Jul-19,3 lots SEP-19  DAX F                    ,281684672,288692024,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
LT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408.5,EUR,-1.6,       FEE,12-Jul-19,2 lots SEP-19  DAX F                    ,281684668,288692022,12-Jul-19,          ,C     ,C     ,12-Jul-19,xxxxxxxxxxxxxxxxxxxx,S           ,N         
